% Model,HG360_full_setoresRadiador_F7_30mm_ext_simul05_S15.mph
% Version,COMSOL 5.5.0.292
% Date,"Oct 23 2025, 09:37"
% Dimension,2
% Nodes,1108
% Expressions,1
% Description,Surface
% surf3x,surf3y,Color
692.5537315669342,3839.42277727158,-0.0029527139146512055
748.369154377899,3815.170740403276,-7.883847110788492E-4
804.1845771888637,3790.918703534971,0.0013759444924935076
859.9999999998284,3766.6666666666665,0.0035402736960658643
748.369154377899,3892.9485181810533,-0.016354515792747257
804.1845771888637,3868.696481312749,-0.0141901865891749
859.9999999998283,3844.444444444444,-0.012025857385602544
804.1845771888637,3946.4742590905266,-0.02975631767084331
859.9999999998283,3922.222222222222,-0.027591988467270956
859.9999999998284,4000,-0.04315811954893936
668.7826208056307,3892.9485181810533,-0.05596634660922319
724.5980436165954,3946.474259090526,-0.06936814848731926
780.41346642756,4000,-0.0827699503654153
645.011510044327,3946.4742590905266,-0.10897997930379519
700.8269328552916,4000,-0.12238178118189125
621.2403992830233,4000,-0.1619936119983672
859.9999999998284,3533.3333333333335,0.013218699010461446
859.9999999998284,3611.1111111111118,0.009992557238996254
859.9999999998283,3688.888888888889,0.0067664154675310595
793.8382795709165,3569.3080457857923,0.0019793158529238285
793.8382795709164,3647.08582356357,-0.0012468259185413647
793.8382795709164,3724.8636013413475,-0.00447296769000656
727.6765591420044,3605.28275823825,-0.009260067304613791
727.6765591420044,3683.060536016028,-0.012486209076078985
661.5148387130923,3641.2574706907085,-0.020499450462151406
682.2074339489869,3773.3676750779564,-0.008801626097151273
671.8611363310397,3707.3125728843324,-0.01465053827965134
738.0228567599518,3749.115638209652,-0.006637296893578917
622.1510823515063,3830.614996429148,0.012083744762241435
598.3799715902027,3884.1407373386214,-0.04092988793233055
574.608860828899,3937.666478248095,-0.09394352062690255
551.7484331360782,3821.8072155867158,0.027120203439134075
527.9773223747745,3875.332956496189,-0.025893429255437916
481.34578392065026,3812.999434744284,0.04215666211602672
611.8047847335589,3764.559894235524,0.006234832579741367
541.402135518131,3755.752113393092,0.021271291256634007
601.4584871156117,3698.5047920419,3.8592039724129844E-4
432.9453598452154,3875.332956496189,0.07884254265150921
479.57689829933975,3937.666478248095,0.010792451280044569
526.2084367534641,4000,-0.05725764009142006
384.54493576978047,3937.666478248095,0.11552842318699169
431.17647422390473,4000,0.04747833181552706
336.14451169434557,4000,0.1522143037224742
859.9999999998286,3300.0000000000005,0.01835794692528031
859.9999999998286,3377.7777777777783,0.016644864287007358
859.9999999998284,3455.5555555555557,0.014931781648734401
780.454422690385,3331.948051907999,-0.002277550362699352
780.4544226903848,3409.7258296857763,-0.003990633000972308
780.4544226903847,3487.503607463554,-0.0057037156392452625
700.9088453809411,3363.896103815997,-0.02291304765067902
700.908845380941,3441.6738815937742,-0.024626130288951973
621.3632680714975,3395.8441557239944,-0.04354854493865868
648.1309818325608,3559.453032368471,-0.0281824819543205
634.7471249520291,3477.6485940462326,-0.03586551344648959
714.2927022614728,3523.478319916013,-0.016943098796782883
785.8428481521264,3261.7917725945317,-0.0014693040409973698
711.6856963044243,3223.5835451890625,-0.021296555007275054
637.528544456722,3185.3753177835933,-0.04112380597355273
859.9999999998286,3222.2222222222226,0.015049456593656797
785.8428481521263,3184.0139948167534,-0.004777794372620885
711.6856963044241,3145.8057674112843,-0.024605045338898568
859.9999999998284,3144.4444444444443,0.011740966262033279
785.8428481521263,3106.236217038975,-0.008086284704244402
859.9999999998284,3066.6666666666665,0.008432475930409763
632.1401189949805,3255.5315970970605,-0.041932052295254714
706.2972708426827,3293.7398245025297,-0.022104801328977033
626.7516935332391,3325.6878764105277,-0.042740298616956704
859.9999999998284,2833.3333333333335,-0.0074611956267318265
859.9999999998284,2911.1111111111113,-0.0021633051076846307
859.9999999998283,2988.888888888889,0.0031345854113625665
787.4852474361269,2867.5506637235267,0.0035370277713063104
787.4852474361268,2945.3284415013045,0.008834918290353506
787.4852474361268,3023.106219279082,0.014132808809400703
714.9704948724252,2901.76799411372,0.014535251169344447
714.9704948724251,2979.545771891497,0.01983314168839164
642.4557423087236,2935.9853245039126,0.025533474567382582
639.1709437407226,3102.2453200237,-0.01890471245990763
640.813343024723,3019.115322263806,0.003314381053737477
713.3280955884247,3062.675769651391,-0.0023859518252534627
-621.5701533038813,3999.9999999999995,-18.36508316072403
-701.0467688693002,4000,-30.530785611954155
-780.5233844347189,4000,-42.696488063184276
-860.0000000001379,4000,-54.86219051441441
-647.4633007712044,3939.883794170283,-0.16549101543569
-726.9399163366231,3939.883794170283,-12.331193466665816
-806.416531902042,3939.883794170283,-24.49689591789594
-673.3564482385274,3879.767588340567,18.03410112985265
-752.8330638039462,3879.767588340567,5.868398678622523
-699.2495957058504,3819.65138251085,36.233693275140986
-860.0000000001125,3766.666666666667,77.5591640025109
-806.4165319020252,3784.3282386147284,63.7840070933876
-752.8330638039379,3801.989810562789,50.00885018426429
-860.000000000121,3844.444444444445,33.418712496869134
-806.4165319020335,3862.106016392506,19.64355558774583
-860.0000000001295,3922.2222222222226,-10.721739008772632
696.8772709869996,-40.92046601837043,1.557083752916016E-5
669.985113746916,-93.94697734558031,-4.3726527717117545E-6
643.0929565068325,-146.97348867279018,-2.431614307258367E-5
616.200799266749,-200.00000000000003,-4.425963337345559E-5
751.2515139912758,-93.9469773455803,-4.698810216015738E-6
724.3593567511923,-146.97348867279018,-2.4642300516887653E-5
697.4671995111088,-200.00000000000003,-4.4585790817759565E-5
805.6257569955521,-146.97348867279015,-2.496845796119164E-5
778.7335997554686,-200,-4.4911948262063555E-5
859.9999999998284,-200,-4.523810570636754E-5
751.2515139912758,-16.169199567802526,4.652775489631797E-5
805.6257569955521,-69.19571089501238,2.6258107151142073E-5
859.9999999998283,-122.22222222222223,5.988459405966174E-6
805.6257569955521,8.582066882765384,7.748467226347578E-5
859.9999999998283,-44.444444444444464,5.721502451829988E-5
859.9999999998284,33.3333333333333,1.0844158963063359E-4
665.726199195957,146.70834084225433,3.4887884298576296E-6
730.4841327972474,108.916671672614,3.847305549678295E-5
795.2420663985379,71.12500250297366,7.345732256370827E-5
730.4841327972475,186.69444945039174,4.0944142280209315E-5
795.2420663985379,148.90278028075141,7.592840934713463E-5
859.9999999998283,111.11111111111104,1.1091267641405997E-4
795.242066398538,226.68055805852913,7.839949613056101E-5
859.9999999998283,188.8888888888888,1.1338376319748632E-4
859.9999999998284,266.6666666666666,1.1585484998091271E-4
686.4935803899855,21.62246960183782,1.154348782939265E-5
740.8678233942617,46.37373605240573,4.250040519655046E-5
676.1098897929711,84.16540522204608,7.51613812962514E-6
859.9999999998284,344.44444444444434,1.6718876872489472E-4
859.9999999998283,422.2222222222221,2.1852268746887669E-4
